smiles,freesolv,pred_0
CCC(=O)OCC,-2.68,-2.5445392
C(Br)Br,-1.96,-1.3053062
CCCCCCC(=O)C,-2.88,-2.3824787
CCC/C=C/C=O,-3.68,-2.6659076
c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,-4.580172
c1cc(ccc1O)Cl,-7.03,-6.7525196
CC(OC)(OC)OC,-4.42,-3.667203
CC(=C)[C@H]1CCC(=CC1)C=O,-4.09,-4.124944
CCCCCCCCCC(=O)C,-2.15,-1.5501218
CCC[N+](=O)[O-],-3.34,-3.1478655
c1cnc[nH]1,-9.63,-8.782461
CN(C)C(=O)c1ccccc1,-9.29,-7.984684
C/C=C/C=O,-4.22,-3.0803242
CC#C,-0.48,-0.87087035
CCCCCC(=O)N,-9.31,-6.587371
c1ccccc1,-0.9,-1.2792349
COc1cccc(c1)N,-7.29,-7.6627307
CCCCCCCC=C,2.06,1.7924852
CC(C)CCC(C)(C)C,2.93,3.4179878
CC(C)(C)Cl,1.09,-0.009346724
c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34,-2.3563495
c1ccc2c(c1)ccc3c2cccc3,-3.88,-5.2271795
CCOC(=O)CCC(=O)OCC,-5.71,-5.721917
CC[N+](=O)[O-],-3.71,-3.3234437
CCc1cnccn1,-5.45,-7.7111025
CSc1ccccc1,-2.73,-2.49022
C1CC=CC1,0.56,-1.1002636
COC(=O)C(F)(F)F,-1.1,-1.3200846
CCCCCC(=O)OC,-2.49,-2.3870115
Cc1cccnc1C,-4.82,-5.0514555
CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74,-6.468792
c1ccc(cc1)CCO,-6.79,-5.8835306
CCCC[N+](=O)[O-],-3.09,-2.6979241
CC1=CCCCC1,0.67,-1.0371289
CCCOC=O,-2.48,-2.592825
C=C,1.28,0.16115665
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,-13.646473
c1ccc(c(c1)Cl)Cl,-1.36,-1.9922805
CC(C)CC(C)C,2.83,2.82613
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,-12.728207
CCCC#C,0.01,-0.2579589
Cc1ccccc1Cl,-1.14,-1.831986
CC(=C)C(=C)C,0.4,0.24887657
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74,-16.25225
Cc1ccc(c(c1)C)O,-6.01,-5.982585
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,-20.422882
C1CCOCC1,-3.12,-2.515522
CCC[C@H](CC)O,-4.06,-3.8473992
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,-4.590129
c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,-4.015957
CCCCI,-0.25,-0.3109448
c1cc(cc(c1)O)C=O,-9.52,-8.896528
CCCS,-1.1,-1.3234015
CC(C)C(=O)C(C)C,-2.74,-2.3866363
CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51,-5.128002
C1C=CC=CC=C1,-0.99,-1.4826634
CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68,-8.736449
c1ccc2c(c1)cccc2N,-7.28,-7.639472
c1ccc2ccccc2c1,-2.4,-3.7750158
c1ccc(cc1)[N+](=O)[O-],-4.12,-5.0758142
Cc1cnccn1,-5.51,-8.357195
COC(=O)CC#N,-6.72,-6.228516
c1ccc(c(c1)O)F,-5.29,-6.3661785
C1CC[S+2](C1)([O-])[O-],-8.61,-2.945785
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44,-2.7761588
